Course,Professor,PostDate,ReviewContent
人工智能与现代科技,马奥,06-13,"上学期上过,老师人和给分挺不错的,但这学期听说要考试了"
人工智能与现代科技,马奥,06-13,"马奥！！！强推,每次都是提前说需不需要签到,我都没咋了好几节了都没事,事儿也少,期末一个论文就完了❤️"
人工智能与现代科技,马奥,06-13,"第一节课听他说如果点名会提前通知的,极小概率会心血来潮不通知就点名"
人工智能与现代科技,汤自新,06-13,很佛系的一个老师哈哈哈
人工智能与现代科技,杨山田,06-13,"两级分化比较严重,不知道该不该选了"
人工智能与现代科技,杨山田,06-13,事少人好给分高
人工智能与现代科技,陈珍珠,06-13,"人很温和,事少,有一个pre,期末是论文"
人工智能与现代科技,陈珍珠,06-12,"事少,偶尔点名,人好"
人工智能与现代科技,林飞,06-13,我感觉挺好哒
人工智能与现代科技,邓烨,06-19,"很好的老师,一学期就点过一次名"
人工智能与现代科技,邓烨,06-11,"很好,超级好的老师,上过他的人工智能,特别好!课上有讨论的时候还会提前在群里说提醒大家到场"
商务翻译,张玲,05-26,"会抽人回答问题,上次玩了一节课手机,最后还问了我的名字,据说给发也不行"
商务翻译,马春梅,06-15,"平时分基本都是靠自己赚,考勤签到作业、小测什么的,感觉挺好赚的,平时作业也很简单有些几分钟就可以做完,mo的平时分是92,但是期末不知道是不是统一改卷,期末翻译的卷面成绩挺低的,也可能是本mo比较菜吧😅"
商务翻译,马春梅,06-15,"没有作业事很少,上课是坐标签到,教的还可以,但每节课都会点名抽背短语😥"
商务翻译,叶净,06-15,"商务翻译都没有pre,我觉得自己举手回答问题这种我还好点,至少因为社恐这部分的分我给可以直接不要,也没什么事,心理上不用煎熬。叶净老师那种我得时时刻刻听她讲到了哪里,关注她什么时候抽我,一颗心始终悬着我可太难受了"
商务翻译,叶净,06-15,"就是她人很好教的很好啊,对社恐极其友好"
商务翻译,叶净,06-15,上课积极一点回答问题期末分就会巨高！！😳😳我朋友上学期九十多😳😳
商务翻译,杨文璐,06-15,"最低需要回答两次问题,很简单,当时我一次也没回答,平时分八十多。中期有一次小组作业,每个人分工,不要求全员pre中文授课,难度不大"
商务翻译,杨文璐,06-15,"杨老师人挺好的,给分也还行"
商务翻译,黄银冬,06-15,人巨好 可无脑冲
商务翻译,黄银冬,06-15,特别特别好 我大一上选了他 大一下被踢了 结果大一下期末的时候他给同学们准备了明信片 甚至还有些是自己画的😭😭😭
商务翻译,黄银冬,06-15,还行啊 主要是老师特别好 特别温柔的 结课还给大家送小礼物
商务沟通导论,张雪莲,06-07,人特好
商务沟通导论,孙林,06-12,孙林冲冲冲!
商务英语,何莉娟,06-07,分不高 小作业多 不过上课可以划水不会点人回答好喜欢老师！只要喜欢pre 最后94
商务英语,何莉娟,06-07,"几乎周周突击考,题型不说,题量不说,我们是期末写论文,字数不多,平时只有一个小组作业,很简单,没有pre,上课有好几次小测,不定期,建议好好做,请假都会过但是一定要请常做不完。"
商务英语,何莉娟,06-07,"事情有点多,但是据我了解那个板块的事都多"
商务英语,何莉娟,06-07,"她人挺好的,但是我们当时事情特别特别多每周都很多作业,期末考核有可能是小组讨论"
商务英语,车瑜,06-14,"人还不错,口音很正,平时分给的一般,小组讨论有点多哦😂😂😂"
商务英语,车瑜,06-14,"车老师人很好,上过他的英语课🥰"
商务英语,阳丹,06-15,"我上过她的听力,还可以,事蛮少的"
商务英语,彭云雁,06-07,"一点东西都学不到,事情还超级多,分数还给的很低,狠狠避雷这个老师"
商务英语,彭云雁,06-07,事情很多 分倒是不高
社会学思想与方法,蒋和超,06-15,"人超级超级好,非常好,事少,而且期末总评95🤗🤗🤗"
社会学思想与方法,蒋和超,06-15,"是的呢,讲得好人也很温柔,需要回答问题 但特别简单,放心冲！"
市场营销学,吴邦刚,06-07,"前半学期不点名,让同学尽量坐固定的位置,凭印象给考勤分。后半学期按小组签到,好好学了期末能给也会尽量给的"
市场营销学,吴邦刚,06-07,"上课很有趣,性格很好"
数据结构(C语言),龚凯,06-14,"课程难。选择,判断,补充代码填空题,然后就是大题例如给前序中序,写出后序遍历序列或者是哈弗曼编码"
线性代数,高雪梅,06-12,"很严厉,但是很负责任,平时有简单的小测,把她的作业都弄懂都会考的很好的"
线性代数,高雪梅,06-12,"高雪梅老师刀子嘴豆腐心,平时蛮负责任的,就是可能有点唠叨,平时分很高"
线性代数,高雪梅,05-26,"老师上课很严,一般不让玩手机,但是讲得很好👍,必须赞一个"
线性代数,樊胜,05-26,"只上过一节课,但是感觉老师是很有知识的沉淀的,往期同学评价也不错"
2024级(上) 英语听说,黄志华/Cameron ThomasWalton,06-13,"老师人超级无敌好,上课有趣且给分很友好,给分不错 卡梅隆给分随便,聊天混熟"
2024级(上) 英语口语I,Cameron ThomasWalton,06-14,"Cameron大一时候的口语老师,很帅的,圣诞节还会发奥利奥"
2024级(上) 形势与政策I,王思涯/王妍,06-13,人好
2024级(上) 形势与政策I,黄若璇/杨长虹,06-13,挺好的
2024级(上) 形势与政策I,买尔旦·阿木提/钟芸莹,06-15,买尔丹给分高 但需要发言
2024级(上) 统计与数据科学导论,刘斌,06-13,统计类大课不要报
2024级(上) 统计与数据科学导论,李伊,06-13,"平时分一般,一定挑战性"
2024级(上) 统计与数据科学导论,李可,06-13,"讲清楚了,最基本的,我以为你们学了。老师水平高"
2024级(上) 高等代数I(理科),赵建容,06-14,我记得他以前考的是原题
2024级(上) 高等代数I,张炜,06-12,"我上过他的课,他会捞人,知道这一点对你们来说就够了"
2024级(上) 政治经济学,李怡乐,06-14,"人挺好,会捞人,上过她课平时分九十几"
2024级(上) 政治经济学,冯鹏程,05-26,"很负责的老师,善解人意。"
2024级(上) 英语阅读,敖宇,06-12,快去选吧 美式男孩 很chill
2024级(上) 微观经济学(双语),王博,06-10,王博真的又帅人又好事还不多！！！！真的冲他！！！！！！！
2024级(上) 微观经济学(双语),黄栽曦,06-09,"很有趣,专业课很厉害的。前几年国商院的微经都是栽曦老师上"
2024级(上) 微观经济学,李毅,06-18,但讲的很好
2024级(上) 微观经济学,李毅,06-07,他是真的完全不捞
2024级(上) 微观经济学,刘柯含,05-26,"神级老师,认真听感觉学到很多,老师很年轻很美,风趣幽默,实力很强,但可能不怎么教本科。给分上老师不太看平时,但给分正常"
2024级(上) 美学导论,王福鸿,06-15,"老师不来上课,小组展示一学期,三年来上过最水的课没有之一"
2024级(上) 积极心理学,刘亚琨,06-08,"上过他的大心理,挺好的"
2024级(上) 英语听力I,阳丹,06-15,阳丹老师人挺好的
2024级(上) 英语口语I,Pramodh VKumer,06-14,"很好,上课积极分数就高,会抽人回答问题,pre 展示,不会有随机个人演讲的"
2024级(上) 英语口语I,Pramodh VKumer,06-14,"如果上课积极的话分就高,然后每学期一次pre,还有一般课前会有quiz,不过有时候他忘带纸了或者其他情况就不写"
2024级(上) 国际商务学术英语(听力),Cameron ThomasWalton,06-13,"老师人超级无敌好,上课有趣且给分很友好,给分不错 卡梅隆给分随便,聊天混熟"
2024级(上) 形势与政策I,秦怡,06-03,不多 只有一次小组展示 偶尔会提问(一般只找坐最后几排的人回答)结课有小礼物 给分还不知道
2024级(上) 形势与政策I,秦怡,06-03,"职规的秦怡老师平时事情少,从来不点名,给平时分高!"
2024级(上) 形势与政策I,叶容均/李游,06-13,"我去年上的他的课,好像没有点过名,也没有签过到,只是会有课堂小测"
2024级(上) 军事理论,张正军,06-15,"我觉得还可以耶,平时分给的挺高的"
2024级(上) 高等数学I,余喜生,06-07,喜欢余老师讲课 简洁精练 思路很清晰 人很好👍 助教也很负责
2024级(上) 面向对象程序设计(JAVA SE),周峰,06-10,"人很好,就是经常讲话我听不懂,而且很快"
2024级(上) 中国近现代史纲要,袁上,05-25,"袁上老师上课很有趣,期末画的重点很准"
2024级(上) 英语写作,杨佳,06-15,"上过yj老师的英语写作,平时分要靠自己赚,小测得分高、上课主动回答问题,平时分就会好看😋"
2024级(上) 英语写作,杨佳,06-15,嗯......一言难尽 如果你非常想学好英语 且有信心每周小测能考高分 那就可以选
2024级(上) 英语写作,杨佳,06-15,"yj老师事是比较多,但是如果你完成的好并且上课主动回答问题让她记住你了,分也就不会低😬"
2024级(上) 英语写作,杨佳,06-15,没有呀 上过杨老师的综英三 给分很好啊
2024级(上) 军事理论,李游,06-14,他给分一直特别好！！李游特别好人特别好很努力的捞人哈哈哈
2024级(上) 军事理论,李游,06-14,"我去年上的他的课,好像没有点过名,也没有签过到,只是会有课堂小测"
2024级(上) 军事理论,刘坤/王慧,06-15,刘坤老师好的很
2024级(上) 艺术创作与表演,万盛,06-15,"只要不考试就行,编舞无所谓"
2024级(上) 数学分析I,冯保伟,06-13,"上过他的高数2,我觉得讲的很好"
2024级(上) 数学分析I,冯保伟,06-13,如果你平时表现不错的话会捞的
2024级(上) 形势与政策I,刘思涓/黄巍,05-25,"其中两个老师一个老师上两节课,黄巍老师上课挺有意思,对学生也好。但是这个班打分似乎没有其他班高"
2024级(上) 高等代数I(理科),朱胜坤,06-13,偶尔点名
2024级(上) 管理学原理,林燕玲,06-10,挺好的 老师人也好
2024级(上) 大学生心理健康与人生发展,黄巍/刘思涓,06-15,"冲hw就对了,选到就是赚到🥰🥰"
2024级(上) 军事理论,迪丽尼格尔·艾力,06-13,"迪丽老师漂亮人好,开卷考试,反正平时分挺高"
2024级(上) 军事理论,张亚秋,06-15,闭眼张亚秋
2024级(上) 管理学原理,李幸/何杰,06-14,"李老师人很好,也好说话推荐"
2024级(上) 高等数学I,吴静,05-26,"听说话讲的好,给分不清楚"
2024级(上) 高等数学I,吴静,05-25,"老师很温柔,讲课很清晰,而且会发课件到群里"
2024级(上) 高等数学I,李双龙,05-26,"lsl老师是我的神,讲课超细致,超幽默🤗🤗🤗"
2024级(上) 形势与政策I,毛思程/王保,05-26,"两位好老师,毛老师感觉人不错,王保老师作为金融学院的辅导员一直受大家喜爱。给分上这门课分数都不低"
2024级(上) 形势与政策I,董雪/李锦旭,06-13,分挺高的
2024级(上) 大学生心理健康与人生发展,徐彩慧,06-11,"和老师是新老师,上课就是吧啦吧啦一直低着头念,语调很平很催眠,考核方式全课题组统一"
2024级(上) 艺术创作与表演,李龙/李楠,06-11,"李楠他是一个很认真的人,只要你认真对待就行了"
2024级(上) 微观经济学,郑雪梅,07-24,"老师上课讲的比较难懂,要做好课前预习的去听,但是课件做的特别好,可以辅助学习,期末捞人"
2024级(上) 政治经济学,刘子嘉,06-18,"上课讲的还可以,最后会给很高的平时分捞低分同学,然后给考的高的平时分打低,但是因为本mo是被平时分打低的,所以对老师的评价就会差一点"
2024级(上) 宪法学,张欣/赵勇,06-11,"法学院的张欣老师人美心善,但是这门课没上过,有幸上过老师的宪法学"
2024级(上) 社会学思想与方法,刘婵,06-11,"真的超爱,平时分好高"
2024级(上) 社会学思想与方法,刘婵,06-11,社会学强推刘婵老师！！！平时分给了我100
2024级(上) 高等数学I,蒲洋/王锐,07-24,"蒲洋老师讲课真的特别清晰,但点名且比较严;王锐老师讲课没有蒲洋老师那么好,但也不差,不点名,会捞人"
2024级(上) 习近平法治思想,陶维东/刘国/袁明安/赵海程/赵勇/赵宇霞/刘磊/李振贤/陈昊明,06-15,刘磊老师真的!巨好!!
2024级(上) 思想道德与法治,张译匀,06-15,zyy！！！！特别特别好😠
2024级(上) 法理学(含社会主义法治理念),刘磊,06-15,刘磊老师真的!巨好！！老师真的讲的又有意思给分又高！
2024级(上) 法理学(含社会主义法治理念),刘磊,06-15,"跨选强推刘磊老师的法理学！！！事少分高,刚查完给了94。老师从不会点名,留的作业也都是小感想两百字左右,期末写论文(五千字),而且ddl特别晚,登成绩前几天才交,课上也不会提问记分。"
2024级(上) 综合英语III,叶净,06-15,"上过叶,讲得很好,人也很好,分也不错!"
2024级(上) 综合英语III,杨文璐,06-15,"我上她的综英3,老师人挺好的,但是加平时分需要主动举手回答问题,小测有点难要考一节课😂"
2024级(上) 综合英语III,杨文璐,06-15,"我综英3是杨老师的,上课举手回答了几次问题,小测成绩中下,最后平时分90+"
2024级(上) 综合英语III,汪平,06-15,事少分高人也特别好 上课是我喜欢的不讲废话的那种 也会和你开玩笑 有问必答 能指出我的问题 上课不点名 我没选上汪老师的课她还安慰我😭
数学分析II,邓汝良,06-13,"哈哈哈哈人幽默而且会使劲捞你,偶尔上课提问"
数学分析II,邓汝良,06-13,"转,特别好,我上学期就听的他他的数分,听他上课很舒服,老师人也很好"
数学分析II,邓汝良,06-13,drl讲的一般但给分好
数学分析II,崔红卫,06-17,"老师讲的特别详细,会写很多板书,个人很喜欢她的风格,有点像高中的老师,很细心也有点小啰嗦也比较严厉,给分还不错,也会捞人,朋友有被捞上去的🥳🥳"
数学分析II(理科),梁之磊,06-13,"我觉得老师人很好,讲的也不错,但是你上课别讲话嬉笑,不影响课堂秩序就OK"
数学分析II(理科),梁之磊,06-13,"教的还行,给平时分这边我结合了身边几个朋友说説,要挂了期末小于60就给你九十多尽量捞上来,挂不了如期末七十多,就按你期末分给你往上浮动几分当平时分"
数学分析II(理科),梁之磊,06-13,很好的 我觉得他讲课很清楚 给分也很好!
数学分析II(理科),黎伟,05-26,yyds
数学分析II(理科),黎伟,05-25,"讲题特别细节,证明特别到位"
数字经济,王长安,06-11,平时分高
数字经济,王军,06-15,"王军超级好 没考试,王老师上课超有趣的"
思想道德与法治,张译匀,06-15,"zyy大美女大好人,超好"
思想道德与法治,吕君怡,06-13,"美女老师,讲课很有趣,看你听得认真会加分。有一次pre,可能有多次课上学习通互动🧐"
思想道德与法治,黄佐毅,05-26,"偶尔会点名,平时什么都可以和他聊,性格很好,而且还会分享一些有用的知识"
微观经济学,黄大康,06-03,"温和有耐心,讲课我觉得挺清楚的,不清楚去问他他也很耐心地给你再讲一遍,之前期中听说帮我们捞了十多分,平时分90+"
微观经济学,黄大康,06-03,"超级无敌巨好,考虑学生优先。,作业时间也给的长"
微观经济学,黄大康,06-03,"人很好,给分超高,但是讲课有点快"
微观经济学,黄大康,06-03,"黄老师出的卷子很简单的,而且他还会对分数进行调整你可以和他说讲的快了,他会把速度降下来,真的很好的一个老师"
微观经济学,王湛,06-17,"超级推荐！！老师真的特别好,很幽默,笔记没有很多,但完全能听懂"
微观经济学,王雨祥,05-25,"无脑选,讲课和教学态度特别好"
微观经济学,袁正,06-14,不捞人 平时分不高 不怎么推荐
微观经济学,刘恒,06-14,"非常好的一个老师！🧑‍🏫上课模式偏高中,会手把手树立思路写笔记,严谨风趣幽默！我们专业评价都蛮不错。期末平时分挺高而且给分稳定"
微观经济学(英),董大鑫/刘忠,05-27,"完美的老师完美的老师完美的老师！如果世界上都是这样的老师那简直太幸福了。讲得好,人超级无敌幽默,打分很公平客观而且普遍很高,只要学了就是90+。虽然要小测,但是题目都是有范围的。豆豆鞋老师我将永远追随你。"
西方音乐史,李星霓,06-14,"老师很好后面几乎都不签到不管了,偶尔回答问题都是按座位点,非常完美的一节大水课"
线性代数,张昕,06-11,"讲的不错,给分可以"
线性代数,韩本三,06-12,"hbs教的简直顶呱呱,稳稳的幸福,老师人也超级好"
线性代数,韩本三,05-26,"都说韩老师讲得很好(可能我菜吧,也听不太懂呢)但我觉得是温柔刀哈😂,"
线性代数,杨文昇,06-03,"yws不点名,平时作业也要求期末考试前完成,人还是很温柔很幽默的,但是讲课很快"
线性代数,杨文昇,06-03,"杨文昇老师人很温柔讲得蛮全面的,但是节奏很快,很看个人学习能力"
线性代数,张炜,06-12,"他讲课逻辑很清晰,比较爱写板书,手稿超级详细,"
2024级(上) 综合英语III,马春梅,06-15,"我是马老师班的,这学期上的综合英语3。她就第一次课抽了问,而且还是自己主动回答,后面没抽过问了。平时课堂上的作业提交即可,她都会给满分。反正我是真的喜欢马老师😤有一次课堂作业我没交(在玩手机),我课后找她,她直接又发了一个作业,我什么都不用做,提交就可以了,来把我没交的分直接那次补上😙😙"
2024级(上) 综合英语III,马春梅,06-15,综英三别选
2024级(上) 综合英语III,刘霞,06-15,"人超级好,事少给分多,快冲"
2024级(上) 综合英语III,刘径华,06-15,她给分很公平公正的 想要高分需要自己努力哦 但人很负责 教的很好 很温柔
2024级(上) 综合英语III,刘径华,05-26,"老师很负责,关注我们的考试"
2024级(上) 综合英语III,黄银冬,05-25,值得推荐
2024级(上) 综合英语III,黄银冬,05-25,"老师点名不多,而且评分会微微捞人,还会给大家分享自己摄影的明信片"
2024级(上) 综合英语III,黄家辉,06-15,"老师特别好！平时分高。小测考课本上做过的题,还有她发那些短语"
2024级(上) 综合英语III,黄家辉,06-15,上过她的综英 人挺好的 给分也不错
2024级(上) 综合英语III,黄家辉,06-15,"黄jh老师挺好的,作业不算多吧,预复习背单词什么的可能比较费时间"
2024级(上) 综合英语III,胡莎,06-15,"胡莎老师人好 事情少 给分高。胡莎老师的课上一阵就适应了😤而且她还是主要用中文上课 不要给自己太大心理压力 老师很好的,你去两三次课她就能准确记住你名字并且称呼你了,期末给分也很好 真的是伟大 无需多言"
2024级(上) 综合英语III,胡莎,06-15,胡莎老师人很好的！！！(本人还不舍得她去教阅读 想继续选她的课来着)讲的很好 人也很温柔 有小测 有作业 但是做不做都无所谓
2024级(上) 综合英语III,胡莎,06-15,"人好,给分好,就是小测有点多"
2024级(上) 综合英语III,苟钰唯,05-25,"苟老师超级温柔,给分也很好。虽然每次上课都会抽人回答问题但是真的不用太担心回答得不好什么的,因为就算回答得不太好她也会一直给你鼓励,情绪价值拉满😘😘"
2024级(上) 综合英语I,刘径华,06-15,"她上课感觉很多时候都是在分享国外的经历还有国外的风俗习惯,我感觉学不到太多东西"
2024级(上) 综合英语I,刘径华,06-15,"事情很多挂倒不会,就是平时有很多小测,查考勤也比较严,"
2024级(上) 中国传统文化概论,潘斌/李楠,06-15,挺好的 老师人非常好🌹
2024级(上) 综合英语III,荣雯轩,06-15,"这学期的综3选的她的课,会学到很多东西,而且组织有关四级的小组作业,大家一起找资料,帮助备考四级,感觉挺好的"
2024级(上) 政治经济学,王雪琴,06-15,"她不画重点,得靠自己背啦"
2024级(上) 政治经济学,王雪琴,06-15,"我记得她讲挺好的,特别爱拖堂,但是期末会海底捞人,所以很good"
2024级(上) 政治经济学,王雪琴,05-26,耐心解答
2024级(上) 英语文学与当代世界,江龙,05-26,"老师讲课很好,英语2/3,中文1/3"
2024级(上) 英语国家与文化互鉴,龙彧,06-12,"较少点名和回答,一次pre和一次书评,期末闭卷有准备就很高分没准备很低分"
2024级(上) 艺术导论,张怡然,06-11,给分高 老师很好 但是很社恐的不太建议 因为会单独表演小节目的
2024级(上) 艺术创作与表演,李龙,06-12,"我们这学期就上的这个,就是编现代舞三分钟,三次汇报和一次期末汇报。第一次一分钟,第二次两分钟,第三次三分钟,最后期末再跳一遍。对于不太会跳舞的人就是很麻烦。李龙老师挺好的,人帅假好请"
2024级(上) 形势与政策I,刘坤/王慧,05-26,老师格局大
2024级(上) 西方音乐史,李星霓,06-15,考试一般考选择
2024级(上) 西方音乐史,李星霓,06-15,李星霓老师挺好的😋😋
2024级(上) 微观经济学,刘炎周,06-15,特别好 爱他
2024级(上) 思想道德与法治,周明星,06-15,"老实人挺好的,平时分你多和他交流一下会高点"
2024级(上) 思想道德与法治,胡军方,05-26,PPT为主
2024级(上) 计算机与大数据基础,陈斌,06-10,"陈斌你真的是世界上最好的老师,他期末很能捞,感觉我上学期的大计基卷面分给我捞了快一倍"
2024级(上) 计算机与大数据基础,陈斌,06-10,"他真的很好 给分也很好,我大一的时候上的他的大计基真的超级好"
2024级(上) 计算机与大数据基础,林绚/周峰,06-08,"经常签到,但平时分不算低"
2024级(上) 高等数学I,王开弘,05-26,老师讲题很细致
2024级(上) 高等数学I,王开弘,05-26,"老师人好,认真就给分,平时期末五五开"
2024级(上) 高等数学I,李凤英,06-15,人很好很负责 讲课有点口音
2024级(上) 高等数学I,李凤英,06-15,很负责任!超级好！！！真的！！！很好很好
2024级(上) 高等数学I,李凤英,05-28,"给分很OK,平时分甚至会打满"
刑法总论,陈昊明,07-24,"老师上课讲的很好,幽默风趣,不点名。分数构成是三次作业各占10%,期末考占70%,但给分很严,且没有点名之类的平时分 对于平时听的很认真的同学不算很友好。是本mo分最低的一科😭"
形势与政策II,崔雅岚,06-13,选崔雅岚 但是事情很多 另一个老师不知道怎么样😅
形势与政策II,孟伟伟,06-13,mww老师喜欢让人回答问题加分
形势与政策II,王慧,06-11,"王慧只是教的不好,人蛮好的"
形势与政策II,李楠,06-11,"李楠他是一个很认真的人,只要你认真对待就行了"
形势与政策II,舒坦,07-18,他是我们党支部负责人 感觉不犯事他还挺和蔼 要是破坏了什么规矩很严厉
形势与政策II,饶玉申,06-12,上过这个老师的形策 人特别好
形势与政策II,刘坤,06-15,刘坤老师真的巨好😙😙😙很有趣😙😙还想上他的课😚😚😚
形势与政策II,刘坤,05-26,"老师的水平很高。很渊博,全球视野野观,将实事与课程结合。给学生很多受益的地方。"
形势与政策II,王保,06-12,真的超有耐心超级温柔特别有人格魅力对学生都一视同仁
形势与政策II,骆岭,06-13,"驼铃老师挺好的,也不点名也不强制要求回答问题"
形势与政策II,刘亚琨,06-08,好!给分高(我90+) 教的也好人也有趣
形势与政策II,易家维,06-14,"挺好的,不怎么提问 印象中老师人很好🐿"
形势与政策II,高鹭,06-14,"事不多,老师人挺好的,给分也高"
